n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',1.4382447004318237,1.4382447004318237,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.957943856716156,0.957943856716156,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',1.429682970046997,1.429682970046997,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',1.3111212253570557,1.3111212253570557,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',1.4839720726013184,1.4839720726013184,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.7564982771873474,0.7564982771873474,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',1.3917758464813232,1.3917758464813232,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.6242738366127014,0.6242738366127014,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.5289531946182251,0.5289531946182251,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.8057530522346497,0.8057530522346497,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.8213757276535034,0.8213757276535034,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.6774402260780334,0.6774402260780334,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',1.744356393814087,1.744356393814087,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.8141174912452698,0.8141174912452698,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.6951103806495667,0.6951103806495667,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.6937819719314575,0.6937819719314575,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.4213973879814148,0.4213973879814148,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',1.1224416494369507,1.1224416494369507,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.8526290655136108,0.8526290655136108,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.734863817691803,0.734863817691803,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',1.3200621604919434,1.3200621604919434,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',1.0455596446990967,1.0455596446990967,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.998546302318573,0.998546302318573,0.0,0.0

extraInfo
participant,shiga
date,2023-06-28_15h37.43.624
