test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
4,4,0,1,1.0,0.0,0.0,0.0,'right',4.215000152587891,4.215000152587891,0.0,0.0
1,3,2,1,1.0,0.0,0.0,0.0,'right',2.106013298034668,2.106013298034668,0.0,1.0
3,5,0,2,1.0,0.0,0.0,0.0,'right',1.7941139936447144,1.7941139936447144,0.0,2.0
2,1,1,2,1.0,0.0,0.0,0.0,'left',2.147493839263916,2.147493839263916,0.0,3.0
4,3,1,2,1.0,0.0,0.0,0.0,'left',1.578832745552063,1.578832745552063,0.0,4.0
3,1,2,2,1.0,0.0,0.0,0.0,'left',1.373062252998352,1.373062252998352,0.0,5.0
1,2,2,2,1.0,0.0,0.0,0.0,'left',2.5100820064544678,2.5100820064544678,0.0,6.0
4,6,0,1,1.0,0.0,0.0,0.0,'right',2.694469690322876,2.694469690322876,0.0,7.0
2,2,1,1,1.0,0.0,0.0,0.0,'right',2.888740301132202,2.888740301132202,0.0,8.0
3,2,1,1,1.0,0.0,0.0,0.0,'left',2.278491258621216,2.278491258621216,0.0,9.0
4,2,2,1,1.0,0.0,0.0,0.0,'right',4.804210186004639,4.804210186004639,0.0,10.0
1,1,2,1,1.0,0.0,0.0,0.0,'left',2.7873787879943848,2.7873787879943848,0.0,11.0
3,4,0,2,1.0,0.0,0.0,0.0,'left',1.1434171199798584,1.1434171199798584,0.0,12.0
2,3,1,2,1.0,0.0,0.0,0.0,'left',1.3216676712036133,1.3216676712036133,0.0,13.0
4,2,1,1,1.0,0.0,0.0,0.0,,,,,14.0
3,3,2,1,1.0,0.0,0.0,0.0,'left',1.4398744106292725,1.4398744106292725,0.0,15.0
1,1,1,1,1.0,0.0,0.0,0.0,'right',1.4495488405227661,1.4495488405227661,0.0,16.0
4,5,0,2,1.0,0.0,0.0,0.0,'right',1.0866755247116089,1.0866755247116089,0.0,17.0
2,2,2,2,1.0,0.0,0.0,0.0,'right',0.7455243468284607,0.7455243468284607,0.0,18.0
3,1,1,1,1.0,0.0,0.0,0.0,'left',3.5350890159606934,3.5350890159606934,0.0,19.0
4,3,2,1,1.0,0.0,0.0,0.0,'right',1.5347490310668945,1.5347490310668945,0.0,20.0
1,2,1,2,1.0,0.0,0.0,0.0,'left',1.133777141571045,1.133777141571045,0.0,21.0
3,6,0,1,1.0,0.0,0.0,0.0,'right',2.0133769512176514,2.0133769512176514,0.0,22.0
2,3,2,2,1.0,0.0,0.0,0.0,'right',0.746213972568512,0.746213972568512,0.0,23.0
4,1,1,2,1.0,0.0,0.0,0.0,'right',0.9781349897384644,0.9781349897384644,0.0,24.0
3,2,2,2,1.0,0.0,0.0,0.0,'left',2.3672826290130615,2.3672826290130615,0.0,25.0
1,3,1,1,1.0,0.0,0.0,0.0,'right',1.9813212156295776,1.9813212156295776,0.0,26.0
4,1,2,1,1.0,0.0,0.0,0.0,'right',2.118447780609131,2.118447780609131,0.0,27.0
