obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,1,2,45,46,right,low,46,1.275137733155847,0.6384044732453276,1.0,0.0
0,3,2,2,33,36,right,low,36,1.693861428586264,0.8722646544411505,1.0,1.0
0,1,2,2,29,32,right,low,32,0.8505681683038309,0.7678402270988347,1.0,2.0
0,3,1,2,58,25,left,low,58,1.165601836228265,0.3667115382693996,1.0,3.0
0,1,1,1,23,33,left,low,23,0.9084769056677844,0.6004941398057339,1.0,4.0
0,2,2,2,49,31,left,high,49,1.792387255069631,1.255269400704353,1.0,5.0
0,3,2,1,29,49,right,high,49,0.8111036124839661,0.7547224616694679,1.0,6.0
0,2,1,1,33,47,right,high,47,1.323353759925897,0.9140073463637473,1.0,7.0
0,1,2,1,52,15,right,low,15,0.8657769303559366,0.8282654323119303,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h49.23.505
expName,Pattern_3
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,1,1,26,34,right,low,34,0.9084769056677844,0.6004941398057339,1.0,0.0
0,2,2,2,53,29,left,high,53,1.792387255069631,1.255269400704353,1.0,1.0
0,3,1,1,58,30,left,high,58,0.8111036124839661,0.7547224616694679,1.0,2.0
0,2,1,1,42,44,right,high,44,1.323353759925897,0.9140073463637473,1.0,3.0
0,1,2,1,38,22,right,low,22,0.8657769303559366,0.8282654323119303,1.0,4.0
0,3,2,2,29,56,right,low,56,1.415450424791657,0.2183481176907799,1.0,5.0
0,1,1,1,29,39,right,high,39,1.595648022216958,0.5582961508096297,1.0,6.0
0,3,1,1,38,30,left,high,38,0.4577589144128882,0.9427452012286089,1.0,7.0
0,2,2,1,46,37,left,high,46,1.085565080580571,1.348694341302885,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h49.23.505
expName,Pattern_3
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,2,2,58,46,left,low,58,1.137860019088111,0.1210825353131101,1.0,0.0
0,3,1,1,58,29,left,low,58,1.182594212648595,1.239309994590451,1.0,1.0
0,1,1,2,23,41,right,high,41,1.535435221973659,0.39881564901611,1.0,2.0
0,3,2,1,34,62,right,high,62,0.7336790982121868,0.2231343744844985,1.0,3.0
0,1,2,1,38,33,left,high,38,1.48414291351069,1.169699929432276,1.0,4.0
0,2,1,2,39,60,right,low,60,0.9448328625272091,0.4718925370411068,1.0,5.0
0,3,1,1,51,28,left,high,51,0.8836401145992754,0.6923702641804376,1.0,6.0
0,2,2,1,51,39,left,low,51,1.222356837029504,0.220061950931031,1.0,7.0
0,1,1,2,31,34,right,high,34,1.275137733155847,0.6384044732453276,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h49.23.505
expName,Pattern_3
psychopyVersion,2022.2.4
frameRate,None
﻿obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,2,1,47,40,left,high,47,1.48414291351069,1.169699929432276,1.0,0.0
0,2,1,2,35,45,right,low,45,0.9448328625272091,0.4718925370411068,1.0,1.0
0,3,2,1,23,44,right,high,44,0.8836401145992754,0.6923702641804376,1.0,2.0
0,2,2,1,47,39,left,low,47,1.222356837029504,0.220061950931031,1.0,3.0
0,1,1,2,34,39,right,high,39,1.275137733155847,0.6384044732453276,1.0,4.0
0,3,1,2,63,41,left,high,63,1.693861428586264,0.8722646544411505,1.0,5.0
0,1,2,2,39,28,left,high,39,0.8505681683038309,0.7678402270988347,1.0,6.0
0,3,2,2,19,49,right,high,49,1.165601836228265,0.3667115382693996,1.0,7.0
0,2,1,1,28,54,right,low,54,0.9084769056677844,0.6004941398057339,1.0,8.0

extraInfo
participant,shiga
date,2023-06-28_16h49.23.505
expName,Pattern_3
psychopyVersion,2022.2.4
frameRate,None
