obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,1,1,1,26,34,right,low,34,0.9084769056677844,0.6004941398057339,1.0,0.0
0,2,2,2,53,29,left,high,53,1.792387255069631,1.255269400704353,1.0,1.0
0,3,1,1,58,30,left,high,58,0.8111036124839661,0.7547224616694679,1.0,2.0
0,2,1,1,42,44,right,high,44,1.323353759925897,0.9140073463637473,1.0,3.0
0,1,2,1,38,22,right,low,22,0.8657769303559366,0.8282654323119303,1.0,4.0
0,3,2,2,29,56,right,low,56,1.415450424791657,0.2183481176907799,1.0,5.0
0,1,1,1,29,39,right,high,39,1.595648022216958,0.5582961508096297,1.0,6.0
0,3,1,1,38,30,left,high,38,0.4577589144128882,0.9427452012286089,1.0,7.0
0,2,2,1,46,37,left,high,46,1.085565080580571,1.348694341302885,1.0,8.0

extraInfo
participant,testT
date,2023-06-28_14h22.42.634
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
