n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'left',0.44242140650749207,0.44242140650749207,0.0,0.0

extraInfo
participant,testd
date,2023-06-27_18h43.50.404
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'left',0.38443008065223694,0.38443008065223694,0.0,0.0

extraInfo
participant,testd
date,2023-06-27_18h43.50.404
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.8128328919410706,0.8128328919410706,0.0,0.0

extraInfo
participant,testd
date,2023-06-27_18h43.50.404
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
