slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,n,SLF_IMG_RESP.corr_mean,SLF_IMG_RESP.corr_raw,SLF_IMG_RESP.corr_std,SLF_IMG_RESP.keys_raw,SLF_IMG_RESP.rt_mean,SLF_IMG_RESP.rt_raw,SLF_IMG_RESP.rt_std,order
0,1,1,1,1,1.0,0.0,0.0,0.0,,,,,0.0
0,2,2,2,2,1.0,0.0,0.0,0.0,'right',0.39253512024879456,0.39253512024879456,0.0,1.0
0,3,1,3,3,1.0,0.0,0.0,0.0,'right',0.06842641532421112,0.06842641532421112,0.0,2.0
0,2,1,4,4,1.0,0.0,0.0,0.0,'right',0.16311408579349518,0.16311408579349518,0.0,3.0
0,1,2,5,5,1.0,0.0,0.0,0.0,,,,,4.0
0,3,2,6,6,1.0,0.0,0.0,0.0,,,,,5.0
0,1,1,7,7,1.0,0.0,0.0,0.0,'right',0.0762762501835823,0.0762762501835823,0.0,6.0
0,3,1,8,8,1.0,0.0,0.0,0.0,'right',0.013116873800754547,0.013116873800754547,0.0,7.0
0,2,2,9,9,1.0,0.0,0.0,0.0,'right',0.2822968363761902,0.2822968363761902,0.0,8.0

extraInfo
participant,testf
date,2023-06-23_17h36.46.917
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
