n,SLF_CONF_RESP.keys_raw,order
1.0,,0.0

extraInfo
participant,testf
date,2023-06-23_17h36.46.917
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,order
1.0,,0.0

extraInfo
participant,testf
date,2023-06-23_17h36.46.917
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,order
1.0,,0.0

extraInfo
participant,testf
date,2023-06-23_17h36.46.917
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.44440382719039917,0.44440382719039917,0.0,0.0

extraInfo
participant,testf
date,2023-06-23_17h36.46.917
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.10978695750236511,0.10978695750236511,0.0,0.0

extraInfo
participant,testf
date,2023-06-23_17h36.46.917
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.3103664517402649,0.3103664517402649,0.0,0.0

extraInfo
participant,testf
date,2023-06-23_17h36.46.917
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
