n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.41748759150505066,0.41748759150505066,0.0,0.0

extraInfo
participant,testg
date,2023-06-26_13h27.45.287
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'left',0.3628382980823517,0.3628382980823517,0.0,0.0

extraInfo
participant,testg
date,2023-06-26_13h27.45.287
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.122358039021492,0.122358039021492,0.0,0.0

extraInfo
participant,testg
date,2023-06-26_13h27.45.287
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'left',0.23585399985313416,0.23585399985313416,0.0,0.0

extraInfo
participant,testg
date,2023-06-26_13h27.45.287
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
