slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,test_condition,test_pair_pat,test_order_pat,test_conf_pat,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,ObsSequence.thisRepN,ObsSequence.thisTrialN,ObsSequence.thisN,ObsSequence.thisIndex,TestSequence.thisRepN,TestSequence.thisTrialN,TestSequence.thisN,TestSequence.thisIndex,TestSkip.thisRepN,TestSkip.thisTrialN,TestSkip.thisN,TestSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_LEFT.stopped,SLF_IMG_RIGHT.stopped,SLF_IMG_RESP.stopped,SLF_IMG_FIX.stopped,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,SLF_IMG_RESP.rt,SLF_CONF_FIX.started,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_RESP.keys,SLF_CONF_RESP.rt,SLF_CONFFB_FIX.started,SLF_CONFFB_FRAME.started,SLF_CONFFB_LOW_BOX.started,SLF_CONFFB_LOW_TEXT.started,SLF_CONFFB_HIGH_BOX.started,SLF_CONFFB_HIGH_TEXT.started,SLF_CONFFB_FIX.stopped,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_LOW_BOX.stopped,SLF_CONFFB_LOW_TEXT.stopped,SLF_CONFFB_HIGH_BOX.stopped,SLF_CONFFB_HIGH_TEXT.stopped,OBS_INSTR.started,OBS_IMG_FIX.started,OBS_IMG_LEFT.started,OBS_IMG_RIGHT.started,OBS_IMGFB_FRAME.started,OBS_IMGFB_FRAME.stopped,OBS_IMG_LEFT.stopped,OBS_IMG_RIGHT.stopped,OBS_IMG_FIX.stopped,OBS_CONF_FIX.started,OBS_CONF_LOW_BOX.started,OBS_CONF_LOW_TEXT.started,OBS_CONF_HIGH_BOX.started,OBS_CONF_HIGH_TEXT.started,OBS_CONFFB_FRAME.started,OBS_CONFFB_FRAME.stopped,OBS_CONF_FIX.stopped,OBS_CONF_LOW_BOX.stopped,OBS_CONF_LOW_TEXT.stopped,OBS_CONF_HIGH_BOX.stopped,OBS_CONF_HIGH_TEXT.stopped,OBS_REWARD_FRAME.started,OBS_REWARD_IMG_LEFT.started,OBS_REWARD_IMG_RIGHT.started,OBS_REWARD_TEXT.started,OBS_REWARD_FRAME.stopped,OBS_REWARD_IMG_LEFT.stopped,OBS_REWARD_IMG_RIGHT.stopped,OBS_REWARD_TEXT.stopped,TEST_INSTR.started,TEST_INSTR.stopped,TEST_IMG_FIX.started,TEST_IMG_LEFT.started,TEST_IMG_RIGHT.started,TEST_IMG_RESP.started,TEST_IMG_LEFT.stopped,TEST_IMG_RIGHT.stopped,TEST_IMG_RESP.stopped,TEST_IMG_FIX.stopped,TEST_IMG_RESP.keys,TEST_IMG_RESP.corr,TEST_IMGFB_FIX.started,TEST_IMGFB_FRAME.started,TEST_IMGFB_IMG_LEFT.started,TEST_IMGFB_IMG_RIGHT.started,TEST_IMGFB_FIX.stopped,TEST_IMGFB_FRAME.stopped,TEST_IMGFB_IMG_LEFT.stopped,TEST_IMGFB_IMG_RIGHT.stopped,TEST_REWARD_FRAME.started,TEST_REWARD_IMG_LEFT.started,TEST_REWARD_IMG_RIGHT.started,TEST_REWARD_TEXT.started,TEST_REWARD_FRAME.stopped,TEST_REWARD_IMG_LEFT.stopped,TEST_REWARD_IMG_RIGHT.stopped,TEST_REWARD_TEXT.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.70769000001019,18.70769000001019,space,0.31044958299025893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,1,2,33,38,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,22.080535874993075,22.420860124984756,22.838507167005446,22.838507167005446,22.838507167005446,23.13552241702564,23.13552241702564,23.13552241702564,23.250268667005002,None,0,23.250268667005002,23.250268667005002,23.250268667005002,23.250268667005002,24.266565583006013,24.266565583006013,24.266565583006013,24.266565583006013,24.266565583006013,24.266565583006013,24.266565583006013,24.266565583006013,24.60916770802578,24.60916770802578,24.60916770802578,24.60916770802578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,2,1,61,41,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,24.60916770802578,25.069167457986623,25.069167457986623,25.069167457986623,25.373027458030265,25.373027458030265,25.373027458030265,25.484365082986187,None,0,25.484365082986187,25.484365082986187,25.484365082986187,25.484365082986187,26.490628583007492,26.490628583007492,26.490628583007492,26.490628583007492,26.490628583007492,26.490628583007492,26.490628583007492,26.490628583007492,26.83356008300325,26.83356008300325,26.83356008300325,26.83356008300325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,1,2,51,24,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,26.83356008300325,27.30303766700672,27.30303766700672,27.30303766700672,,,,,right,0,27.48885608301498,27.48885608301498,27.48885608301498,27.48885608301498,28.493353083031252,28.493353083031252,28.493353083031252,28.493353083031252,,,,,,,,,0.13707670796429738,28.493353083031252,28.493353083031252,28.493353083031252,28.493353083031252,28.493353083031252,28.493353083031252,left,0.005239583028014749,28.510301625006832,28.510301625006832,28.510301625006832,28.510301625006832,28.510301625006832,28.510301625006832,29.556229416979477,29.556229416979477,29.556229416979477,29.556229416979477,29.556229416979477,29.556229416979477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,1,2,51,24,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.556229416979477,29.556229416979477,29.556229416979477,29.556229416979477,29.909559082996566,29.909559082996566,29.909559082996566,29.909559082996566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,1,1,32,49,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,29.909559082996566,30.383004417002667,30.383004417002667,30.383004417002667,30.669603749993257,30.669603749993257,30.669603749993257,30.725066583021544,None,0,30.725066583021544,30.725066583021544,30.725066583021544,30.725066583021544,31.746725417033304,31.746725417033304,31.746725417033304,31.746725417033304,31.746725417033304,31.746725417033304,31.746725417033304,31.746725417033304,32.0907349580084,32.0907349580084,32.0907349580084,32.0907349580084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,2,2,44,27,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,32.0907349580084,32.56926216703141,32.56926216703141,32.56926216703141,32.866136832977645,32.866136832977645,32.866136832977645,32.902373625023756,None,0,32.902373625023756,32.902373625023756,32.902373625023756,32.902373625023756,33.906591666978784,33.906591666978784,33.906591666978784,33.906591666978784,33.906591666978784,33.906591666978784,33.906591666978784,33.906591666978784,34.249950458004605,34.249950458004605,34.249950458004605,34.249950458004605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,2,2,25,63,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,34.249950458004605,34.71909016702557,34.71909016702557,34.71909016702557,35.016149208007846,35.016149208007846,35.016149208007846,35.05534754198743,None,0,35.05534754198743,35.05534754198743,35.05534754198743,35.05534754198743,36.06791891698958,36.06791891698958,36.06791891698958,36.06791891698958,36.06791891698958,36.06791891698958,36.06791891698958,36.06791891698958,36.39993175002746,36.39993175002746,36.39993175002746,36.39993175002746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,1,1,19,45,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,36.39993175002746,36.86917570797959,36.86917570797959,36.86917570797959,37.16609895799775,37.16609895799775,37.16609895799775,37.203600457985885,None,0,37.203600457985885,37.203600457985885,37.203600457985885,37.203600457985885,38.21288204198936,38.21288204198936,38.21288204198936,38.21288204198936,38.21288204198936,38.21288204198936,38.21288204198936,38.21288204198936,38.53517720801756,38.53517720801756,38.53517720801756,38.53517720801756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,1,2,47,24,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,38.53517720801756,39.02221500000451,39.02221500000451,39.02221500000451,39.318952375033405,39.318952375033405,39.318952375033405,39.33887049998157,None,0,39.33887049998157,39.33887049998157,39.33887049998157,39.33887049998157,40.35341987502761,40.35341987502761,40.35341987502761,40.35341987502761,40.35341987502761,40.35341987502761,40.35341987502761,40.35341987502761,40.69737333297962,40.69737333297962,40.69737333297962,40.69737333297962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testk,2023-06-27_19h21.03.845,Pattern_1,2022.2.4,None,
