n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.5261855125427246,0.5261855125427246,0.0,0.0

extraInfo
participant,testl
date,2023-06-26_03h24.29.868
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.7765384316444397,0.7765384316444397,0.0,0.0

extraInfo
participant,testl
date,2023-06-26_03h24.29.868
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.5376564264297485,0.5376564264297485,0.0,0.0

extraInfo
participant,testl
date,2023-06-26_03h24.29.868
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
