obs_condition,obs_pair_pat,obs_order_pat,obs_conf_pat,obs_reward_left,obs_reward_right,obs_pos_chosen,obs_conf,obs_reward,obs_img_time,obs_conf_time,n,order
0,2,2,2,63,45,right,low,45,1.137860019088111,0.1210825353131101,1.0,0.0
0,3,1,1,53,15,left,low,53,1.182594212648595,1.239309994590451,1.0,1.0
0,1,1,2,35,46,right,low,46,1.535435221973659,0.39881564901611,1.0,2.0
0,3,2,1,23,46,left,low,23,0.7336790982121868,0.2231343744844985,1.0,3.0
0,1,2,1,45,20,right,low,20,1.48414291351069,1.169699929432276,1.0,4.0
0,2,1,2,43,53,right,low,53,0.9448328625272091,0.4718925370411068,1.0,5.0
0,3,1,1,48,45,left,high,48,0.8836401145992754,0.6923702641804376,1.0,6.0
0,2,2,1,59,38,right,low,38,1.222356837029504,0.220061950931031,1.0,7.0
0,1,1,2,32,34,right,low,34,1.275137733155847,0.6384044732453276,1.0,8.0

extraInfo
participant,testl
date,2023-06-27_19h11.17.272
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
