n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'left',0.23613041639328003,0.23613041639328003,0.0,0.0

extraInfo
participant,testll
date,2023-06-23_19h01.08.776
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,order
1.0,,0.0

extraInfo
participant,testll
date,2023-06-23_19h01.08.776
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,TEST_CONF_RESP.rt_mean,TEST_CONF_RESP.rt_raw,TEST_CONF_RESP.rt_std,order
1.0,'right',0.29869166016578674,0.29869166016578674,0.0,0.0

extraInfo
participant,testll
date,2023-06-23_19h01.08.776
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,order
1.0,,0.0

extraInfo
participant,testll
date,2023-06-23_19h01.08.776
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,TEST_CONF_RESP.keys_raw,order
1.0,,0.0

extraInfo
participant,testll
date,2023-06-23_19h01.08.776
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
